"ERR4507911";"ERR4507912";"ERR4507913";"ERR4507914";"ERR4507915";"ERR4507916"
2625;866;2885;1970;1285;5605
0;0;0;0;0;0
3129;1450;3725;2787;1359;6403
390;175;470;381;204;782
436;190;419;321;248;941
2;0;1;0;0;0
45;7;31;15;17;86
3049;1317;3412;2438;1732;6985
1684;667;1657;1426;820;3212
1604;601;1715;908;740;2679
284;138;319;382;151;704
1183;476;1107;983;682;2506
1965;1022;2246;1576;1013;4025
502;271;631;415;221;1098
1139;629;1385;886;605;2393
2;6;4;1;1;3
2731;1287;2847;2571;1438;5502
1207;366;1777;1299;794;2793
322;111;322;261;158;536
250;140;226;286;148;528
0;0;0;0;0;0
611;337;941;571;446;2386
1734;776;1821;1483;925;3475
1746;1013;1875;1444;1019;4433
153;55;132;48;59;169
0;0;0;0;0;0
0;0;5;4;0;0
87;38;86;85;45;160
29;25;28;34;23;70
11099;6031;11827;8641;6069;22457
875;272;1003;969;426;1819
0;0;0;0;0;0
1961;1152;2061;1640;997;4134
5802;3116;7009;4126;3684;14513
44;39;109;62;44;141
166;104;195;176;130;405
599;404;618;529;339;1427
2761;1370;2896;2500;1385;4892
498;174;430;557;304;1253
1146;624;1257;1287;724;2567
3593;1540;2863;3152;1657;5858
838;428;950;788;457;1864
1393;733;1420;1423;820;2867
93;38;67;68;36;113
473;123;221;649;206;610
1443;1039;1856;1154;862;4014
30;7;34;30;17;74
2304;1264;2499;1926;1254;5109
2006;1346;2658;1634;1058;4377
5130;2761;5716;4588;2852;12273
0;1;0;0;0;0
2410;1046;3011;1929;1361;6217
7665;4478;8700;6437;4481;16961
2067;1023;2084;1828;1124;3641
294;103;303;179;113;544
1792;691;1838;1213;762;3023
670;300;790;685;384;1438
1;2;1;4;0;16
79;49;95;111;56;213
1679;622;2071;1253;942;4201
154;70;170;295;200;770
6;3;2;3;0;6
16;12;17;12;14;48
0;2;2;0;0;0
8;10;8;18;9;24
1582;592;1442;1009;767;2787
432;194;436;353;210;878
10466;5388;10954;8958;4936;19402
2;4;2;0;5;6
0;0;1;0;0;0
1112;498;1204;816;537;2055
1342;613;1630;1387;733;3312
5;0;5;7;2;12
4176;2464;5321;4842;2802;9971
1365;447;1373;1023;708;2617
8783;3689;10323;6568;4929;20300
678;334;804;565;361;1681
4;3;8;6;1;12
542;324;732;496;338;1426
232;74;319;211;132;491
4;2;4;4;7;39
132;55;141;95;76;247
1605;914;1909;1545;950;3367
3226;1678;3520;2917;1438;6271
196;118;170;282;115;454
252;138;286;237;160;581
1706;752;1968;1601;1100;3934
619;381;811;651;433;1366
539;326;618;564;344;1481
60;20;43;41;49;89
647;336;856;573;350;1577
626;316;593;553;337;1131
1206;770;1229;1293;641;2142
4;2;2;2;3;2
0;0;0;0;0;0
7;0;5;9;4;9
857;417;975;760;401;1586
1942;734;2386;1629;1248;5098
196;69;208;154;105;484
2;4;9;2;1;13
709;401;766;779;444;1562
583;335;863;566;350;1529
151;75;191;153;84;341
5865;2118;6076;4900;2638;10232
929;486;995;832;484;1867
1542;815;1707;1340;853;3284
1808;791;2033;1833;914;3359
1;0;0;1;2;6
428;372;519;443;317;1145
20034;13978;20661;18149;10278;35651
2861;1236;2906;2499;1350;4605
7537;3064;8001;6106;3938;15529
73;27;90;87;31;192
2;0;2;2;2;6
2967;1467;3721;2615;1733;7633
682;452;1160;539;537;2590
231;103;300;175;153;557
246;122;234;232;130;415
231;101;283;162;119;584
97;77;63;73;46;184
0;0;0;0;0;0
924;441;1135;653;307;1092
25;19;29;23;15;40
0;0;0;0;0;0
1642;994;2689;1548;1211;4987
8646;3270;8045;6957;4555;15320
0;0;0;0;0;0
1406;747;1855;1624;841;3646
4;4;4;0;0;4
642;350;816;663;392;1733
5;4;10;5;2;26
10363;4155;15695;6031;2222;11540
0;0;0;0;0;0
931;478;1040;720;474;1762
1037;437;1158;855;475;2152
557;330;589;482;308;1045
627;248;516;415;149;680
134;75;121;166;97;325
936;429;907;773;388;1698
349;220;520;411;232;870
0;0;0;0;0;0
1143;612;1385;821;625;2354
0;0;0;4;2;4
1880;923;2098;1458;896;3564
2;2;0;2;3;0
599;278;748;622;330;1476
785;450;808;1065;561;2077
2;3;0;0;1;1
285;129;263;517;107;328
0;0;0;0;0;0
177;137;257;187;107;457
1486;642;1540;1370;703;2391
2781;1917;3141;2486;1520;6116
2750;1239;2930;2229;1322;5599
270;147;239;281;141;585
1260;595;1350;902;674;2581
260;110;358;191;147;718
964;401;1049;919;522;1953
157;76;201;155;76;372
0;0;0;0;0;0
3543;1526;3924;2614;1645;6410
31;16;39;32;24;47
4;0;0;20;2;7
0;0;0;0;0;0
420;279;533;470;251;967
0;0;0;0;0;2
1219;510;1512;956;751;2952
0;0;0;0;0;0
5039;2355;5245;4292;2512;9474
0;0;0;0;0;0
0;0;0;0;0;1
9423;4614;9948;6557;5114;18569
0;0;0;0;0;0
2;0;6;3;0;8
173;69;297;169;145;577
1342;808;2287;1298;949;5056
0;0;0;0;0;0
2;0;0;0;2;2
14;8;8;61;27;30
597;300;628;549;320;1158
0;0;0;2;0;0
2;0;0;0;0;2
548;375;867;556;461;2014
669;400;715;562;363;1186
1111;596;1466;1076;694;2605
117;59;136;94;58;248
